Date,KRW=X
2025-03-28,1461.8900146484375
2025-03-31,1469.4100341796875
2025-04-01,1471.9599609375
2025-04-02,1469.969970703125
2025-04-03,1466.0400390625
2025-04-04,1450.6800537109375
2025-04-07,1458.52001953125
2025-04-08,1469.949951171875
2025-04-09,1486.1300048828125
2025-04-10,1443.949951171875
2025-04-11,1452.0400390625
2025-04-14,1419.050048828125
2025-04-15,1419.4200439453125
2025-04-16,1427.02001953125
2025-04-17,1414.22998046875
2025-04-22,1421.6400146484375
2025-04-23,1429.219970703125
2025-04-24,1426.449951171875
2025-04-25,1430.06005859375
2025-04-28,1437.3599853515625
2025-04-29,1435.8800048828125
2025-04-30,1431.1600341796875
2025-05-01,1423.75
2025-05-02,1435.0999755859375
2025-05-05,1398.9000244140625
2025-05-06,1374.3699951171875
2025-05-07,1374.77001953125
2025-05-08,1397.2900390625
2025-05-09,1403.8499755859375
2025-05-12,1395.1700439453125
2025-05-13,1416.030029296875
2025-05-14,1416.0
2025-05-15,1407.3299560546875
2025-05-16,1397.02001953125
2025-05-19,1398.1300048828125
2025-05-20,1388.550048828125
2025-05-21,1392.72998046875
2025-05-22,1373.8599853515625
2025-05-23,1381.3399658203125
2025-05-26,1364.72998046875
2025-05-27,1368.0999755859375
2025-05-28,1374.800048828125
2025-05-29,1373.5999755859375
2025-05-30,1370.4100341796875
2025-06-02,1381.989990234375
2025-06-03,1376.0699462890625
2025-06-04,1377.719970703125
2025-06-05,1361.0899658203125
2025-06-06,1354.550048828125
2025-06-09,1359.18994140625
2025-06-10,1353.8499755859375
2025-06-11,1363.8800048828125
2025-06-12,1365.68994140625
2025-06-13,1349.7900390625
2025-06-16,1365.1400146484375
2025-06-17,1357.780029296875
2025-06-18,1380.5
2025-06-19,1370.75
2025-06-20,1374.8900146484375
2025-06-23,1369.469970703125
2025-06-24,1361.93994140625
2025-06-25,1353.780029296875
2025-06-26,1357.030029296875
2025-06-27,1352.760009765625
2025-06-30,1363.5899658203125
2025-07-01,1348.5
2025-07-02,1355.5899658203125
2025-07-03,1354.75
2025-07-04,1357.0999755859375
